ARCHETYPE,EXTENSION_COUNT
SemiDetached_2F,0
Detached_2F,0
EndTerrace_2F,0
Detached_2F,0
Detached_1F,0
SemiDetached_2F,0
SemiDetached_2F,0
Detached_2F,2
Detached_2F,1
Detached_2F,0
Detached_2F,0
Detached_2F,1
SemiDetached_2F,0
SemiDetached_2F,1
Detached_2F,2
Detached_2F,2
Detached_2F,1
MidTerrace_2F,0
Detached_2F,2
Detached_2F,1
SemiDetached_2F,0
SemiDetached_2F,1
Detached_2F,1
Detached_1F,0
Detached_2F,0
Detached_1F,2
Detached_1F,1
SemiDetached_2F,1
SemiDetached_2F,1
SemiDetached_2F,0
SemiDetached_2F,0
SemiDetached_2F,0
SemiDetached_2F,0
Detached_2F,0
Detached_2F,0
SemiDetached_2F,0
SemiDetached_2F,0
Detached_2F,1
Detached_1F,1
Detached_1F,1
Detached_2F,3
SemiDetached_2F,0
SemiDetached_1F,0
SemiDetached_2F,0
Detached_2F,0
SemiDetached_2F,0
Detached_2F,1
Detached_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,1
Detached_2F,0
Detached_2F,0
MidTerrace_2F,1
Detached_2F,0
SemiDetached_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,1
MidTerrace_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,1
Detached_2F,1
Detached_2F,0
Detached_2F,1
Detached_2F,1
SemiDetached_2F,0
SemiDetached_2F,1
Detached_2F,0
EndTerrace_2F,1
EndTerrace_1F,0
Detached_2F,0
MidTerrace_2F,0
Detached_2F,1
Detached_2F,4
Detached_2F,0
SemiDetached_2F,0
Detached_2F,1
Detached_2F,1
Detached_2F,0
SemiDetached_2F,0
SemiDetached_2F,0
Detached_2F,0
Detached_2F,1
Detached_2F,0
EndTerrace_2F,0
Detached_2F,2
SemiDetached_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,0
Detached_2F,0
SemiDetached_2F,0
Detached_2F,0
Detached_2F,0
SemiDetached_2F,0
Detached_2F,0
SemiDetached_2F,0
Detached_2F,0
Detached_2F,1
Detached_2F,0
Detached_2F,0
SemiDetached_2F,0
SemiDetached_2F,0
EndTerrace_2F,0
Detached_2F,0
EndTerrace_2F,0
SemiDetached_2F,0
Detached_2F,0
Detached_2F,4